Date,Type,Value,Price
01/04/1997,Private Enterprise,33090,
01/04/1997,Housing Associations,5200,
01/04/1997,Local Authorities,120,
01/04/1997,All,38410,58405
01/07/1997,Private Enterprise,31660,
01/07/1997,Housing Associations,5050,
01/07/1997,Local Authorities,100,
01/07/1997,All,36810,60610
01/10/1997,Private Enterprise,34730,
01/10/1997,Housing Associations,5360,
01/10/1997,Local Authorities,40,
01/10/1997,All,40140,61370.33333
01/01/1998,Private Enterprise,28350,
01/01/1998,Housing Associations,5790,
01/01/1998,Local Authorities,70,
01/01/1998,All,34200,61938
01/04/1998,Private Enterprise,31320,
01/04/1998,Housing Associations,4830,
01/04/1998,Local Authorities,100,
01/04/1998,All,36250,64193.33333
01/07/1998,Private Enterprise,30580,
01/07/1998,Housing Associations,4400,
01/07/1998,Local Authorities,60,
01/07/1998,All,35030,65608
01/10/1998,Private Enterprise,32260,
01/10/1998,Housing Associations,4890,
01/10/1998,Local Authorities,20,
01/10/1998,All,37170,65467.33333
01/01/1999,Private Enterprise,27040,
01/01/1999,Housing Associations,4770,
01/01/1999,Local Authorities,-,
01/01/1999,All,31810,65888.66667
01/04/1999,Private Enterprise,29980,
01/04/1999,Housing Associations,4080,
01/04/1999,Local Authorities,20,
01/04/1999,All,34080,68492.66667
01/07/1999,Private Enterprise,32450,
01/07/1999,Housing Associations,4380,
01/07/1999,Local Authorities,10,
01/07/1999,All,36840,71709
01/10/1999,Private Enterprise,33720,
01/10/1999,Housing Associations,4550,
01/10/1999,Local Authorities,20,
01/10/1999,All,38280,74192.66667
01/01/2000,Private Enterprise,28320,
01/01/2000,Housing Associations,4270,
01/01/2000,Local Authorities,10,
01/01/2000,All,32590,75955
01/04/2000,Private Enterprise,30440,
01/04/2000,Housing Associations,4280,
01/04/2000,Local Authorities,60,
01/04/2000,All,34770,80417.33333
01/07/2000,Private Enterprise,28490,
01/07/2000,Housing Associations,3780,
01/07/2000,Local Authorities,10,
01/07/2000,All,32280,83219
01/10/2000,Private Enterprise,31090,
01/10/2000,Housing Associations,4350,
01/10/2000,Local Authorities,20,
01/10/2000,All,35450,83666
01/01/2001,Private Enterprise,26630,
01/01/2001,Housing Associations,4020,
01/01/2001,Local Authorities,100,
01/01/2001,All,30750,84621.33333
01/04/2001,Private Enterprise,28020,
01/04/2001,Housing Associations,3350,
01/04/2001,Local Authorities,30,
01/04/2001,All,31400,88712.66667
01/07/2001,Private Enterprise,29210,
01/07/2001,Housing Associations,3110,
01/07/2001,Local Authorities,10,
01/07/2001,All,32320,92814.33333
01/10/2001,Private Enterprise,30980,
01/10/2001,Housing Associations,4020,
