Year,Date,house_price_change,mortgage_rate_change,Period
2005-12,Dec 05,-0.28,-6.50887574,Normal
2006-01,Jan 06,-0.82,-7.414829659,Normal
2006-02,Feb 06,0.02,-7.100591716,Normal
2006-03,Mar 06,0.65,-9.230769231,Normal
2006-04,Apr 06,1.06,-7.558139535,Normal
2006-05,May 06,1.07,1.83299389,Normal
2006-06,Jun 06,0.62,4.821802935,Normal
2006-07,Jul 06,1.03,9.150326797,Normal
2006-08,Aug 06,0.41,11.84210526,Normal
2006-09,Sep 06,-0.16,12.83185841,Normal
2006-10,Oct 06,-0.32,9.911894273,Normal
2006-11,Nov 06,0.4,9.70464135,Normal
2006-12,Dec 06,0.57,8.64978903,Normal
2007-01,Jan 07,-0.42,15.15151515,Normal
2007-02,Feb 07,0.21,15.92356688,Normal
2007-03,Mar 07,0.66,17.58474576,Normal
2007-04,Apr 07,1.86,17.8197065,Normal
2007-05,May 07,0.92,14,Normal
2007-06,Jun 07,0.89,19.6,Normal
2007-07,Jul 07,1.11,21.15768463,Normal
2007-08,Aug 07,0.82,19.80392157,Normal
2007-09,Sep 07,0.38,18.62745098,Normal
2007-10,Oct 07,0.37,22.44488978,Normal
2007-11,Nov 07,0.44,17.11538462,Normal
2007-12,Dec 07,1.29,17.66990291,Normal
2008-01,Jan 08,-0.11,12.21804511,Normal
2008-02,Feb 08,0.32,5.128205128,Normal
2008-03,Mar 08,0.72,4.504504505,Normal
2008-04,Apr 08,1.63,7.829181495,Recession
2008-05,May 08,1.13,9.824561404,Recession
2008-06,Jun 08,1.06,10.36789298,Recession
2008-07,Jul 08,1.33,4.612850082,Recession
2008-08,Aug 08,0.5,-0.490998363,Recession
2008-09,Sep 08,0.22,-1.487603306,Recession
2008-10,Oct 08,-0.03,-4.582651391,Recession
2008-11,Nov 08,-0.1,-16.25615764,Recession
2008-12,Dec 08,-0.07,-21.28712871,Recession
2009-01,Jan 09,-1.35,-27.13567839,Recession
2009-02,Feb 09,-0.88,-24.21602787,Recession
2009-03,Mar 09,-0.74,-31.37931034,Recession
2009-04,Apr 09,0.24,-33.66336634,Recession
2009-05,May 09,0.35,-36.42172524,Recession
2009-06,Jun 09,-1.28,-32.57575758,Recession
2009-07,Jul 09,-0.8,-30.39370079,Normal
2009-08,Aug 09,-2.34,-27.13815789,Normal
2009-09,Sep 09,-2.35,-25,Normal
2009-10,Oct 09,-2.25,-25.90051458,Normal
2009-11,Nov 09,-2.9,-19.60784314,Normal
2009-12,Dec 09,-1.45,-15.09433962,Normal
2010-01,Jan 10,-1.88,-8.735632184,Normal
2010-02,Feb 10,-1.06,-10.8045977,Normal
2010-03,Mar 10,-1,-1.507537688,Normal
2010-04,Apr 10,0.85,-4.975124378,Normal
2010-05,May 10,1.27,-5.025125628,Normal
2010-06,Jun 10,1.1,-17.52808989,Normal
2010-07,Jul 10,1.91,-14.70588235,Normal
2010-08,Aug 10,1.15,-15.57562077,Normal
2010-09,Sep 10,0.95,-14.98881432,Normal
2010-10,Oct 10,0.64,-14.81481481,Normal
2010-11,Nov 10,0.29,-13.90243902,Normal
2010-12,Dec 10,0.76,-13.58024691,Normal
2011-01,Jan 11,0.18,-6.801007557,Normal
2011-02,Feb 11,0.45,-4.639175258,Normal
2011-03,Mar 11,-0.28,-6.12244898,Normal
2011-04,Apr 11,1.16,-4.188481675,Normal
2011-05,May 11,0.54,-7.142857143,Normal
2011-06,Jun 11,0.51,-8.446866485,Normal
2011-07,Jul 11,1.04,-16.71087533,Normal
2011-08,Aug 11,0.16,-19.78609626,Normal
2011-09,Sep 11,-0.32,-23.15789474,Normal
2011-10,Oct 11,-1.18,-17.39130435,Normal
2011-11,Nov 11,-1.01,-11.04815864,Normal
2011-12,Dec 11,-0.15,-8,Normal
2012-01,Jan 12,-0.91,-11.62162162,Normal
2012-02,Feb 12,-0.36,-8.918918919,Normal
2012-03,Mar 12,-0.44,-6.52173913,Normal
2012-04,Apr 12,1.41,0,Normal
2012-05,May 12,-0.47,4.843304843,Normal
2012-06,Jun 12,0.1,11.30952381,Normal
2012-07,Jul 12,1.33,16.87898089,Normal
2012-08,Aug 12,0.1,23,Normal
2012-09,Sep 12,-0.31,25.68493151,Normal
2012-10,Oct 12,-0.91,14.80263158,Normal
2012-11,Nov 12,0.02,9.23566879,Normal
2012-12,Dec 12,-0.22,4.037267081,Normal
2013-01,Jan 13,-0.36,-4.892966361,Normal
2013-02,Feb 13,-0.01,-13.35311573,Normal
2013-03,Mar 13,0.09,-15.69767442,Normal
2013-04,Apr 13,1.27,-21.58469945,Normal
2013-05,May 13,0.27,-26.90217391,Normal
2013-06,Jun 13,0.94,-29.67914439,Normal
2013-07,Jul 13,0.59,-28.61035422,Normal
2013-08,Aug 13,0.21,-30.08130081,Normal
2013-09,Sep 13,-0.31,-30.79019074,Normal
2013-10,Oct 13,-0.64,-28.93982808,Normal
2013-11,Nov 13,0.14,-28.86297376,Normal
2013-12,Dec 13,-0.14,-28.35820896,Normal
2014-01,Jan 14,-0.89,-23.79421222,Normal
2014-02,Feb 14,0.22,-18.49315068,Normal
2014-03,Mar 14,0.56,-18.27586207,Normal
2014-04,Apr 14,0.96,-11.49825784,Normal
2014-05,May 14,0.4,-4.832713755,Normal
2014-06,Jun 14,0.81,-1.140684411,Normal
2014-07,Jul 14,1.2,-3.053435115,Normal
2014-08,Aug 14,0.74,-1.550387597,Normal
2014-09,Sep 14,0.24,-3.149606299,Normal
2014-10,Oct 14,-0.39,-10.88709677,Normal
2014-11,Nov 14,0.49,-11.06557377,Normal
2014-12,Dec 14,1.23,-13.33333333,Normal
2015-01,Jan 15,-0.15,-15.18987342,Normal
